Input.photo_stage1,Input.image_url,guess.gender,guess.age,guess.ethnicity,guess.other,preview
Coco_dEste_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Coco_dEste_0001.jpg,female,40,white,{},
Coco_dEste_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Coco_dEste_0001.jpg,female,45,white,{},
Coco_dEste_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Coco_dEste_0001.jpg,female,35,white,{},
Bill_Curry_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Curry_0001.jpg,male,74,white,{},
Bill_Curry_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Curry_0001.jpg,male,65,white,{},
Bill_Curry_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Curry_0001.jpg,male,50,white,{},
Bill_Doba_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Doba_0001.jpg,male,55,white,{},
Bill_Doba_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Doba_0001.jpg,male,48,white,{},
Bill_Doba_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Doba_0001.jpg,male,55,white,{},
Cole_Chapman_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Cole_Chapman_0001.jpg,male,9,white,{},
Cole_Chapman_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Cole_Chapman_0001.jpg,male,13,white,{},
Cole_Chapman_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Cole_Chapman_0001.jpg,male,11,white,{},
Bill_Duffey_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Duffey_0001.jpg,male,45,white,{},
Bill_Duffey_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Duffey_0001.jpg,male,45,white,{},
Bill_Duffey_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Bill_Duffey_0001.jpg,male,69,white,{},
Colin_Jackson_0001.jpg,http://code4rights.com/subjects/lfw_subjects/Colin_Jackson_0001.jpg,male,25,black,{},
